image,person_tp,person_fp,person_fn,helmet_tp,helmet_fp,helmet_fn,vest_tp,vest_fp,vest_fn,no_helmet_tp,no_helmet_fp,no_helmet_fn
image345.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image810.jpg,0,2,0,0,0,1,1,1,0,0,0,0
image149.jpg,3,1,0,3,0,1,1,1,3,0,0,0
image1235.jpg,1,1,1,0,0,0,0,0,0,0,0,2
image1114.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image1292.jpg,1,0,0,0,0,0,0,0,0,0,2,1
image846.jpg,0,1,0,1,0,0,0,0,1,0,0,0
image1003.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image110.jpg,2,0,1,2,0,0,2,0,1,0,0,0
image999.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image537.jpg,1,3,3,4,0,0,4,1,0,0,0,0
image361.jpg,1,0,0,0,1,0,0,1,0,0,0,0
image431.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image450.jpg,3,2,1,4,1,0,0,6,0,0,0,0
image779.jpg,1,0,0,1,0,1,1,0,1,0,0,0
image381.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image150.jpg,2,0,0,2,0,0,2,0,0,0,0,0
image943.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image1019.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image927.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image389.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image1120.jpg,1,0,0,0,0,0,0,0,0,1,1,0
image393.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image1065.jpg,1,0,0,1,0,0,1,0,0,0,0,0
image548.jpg,3,0,0,3,1,0,2,1,1,0,0,0
image834.jpg,0,0,0,1,0,0,1,0,0,0,0,0
image1344.jpg,1,0,0,0,0,0,0,0,0,0,1,1
image401.jpg,1,0,0,1,0,0,1,0,0,0,0,0
